MPG,Cyl,Displacement,Horsepower,Weight,Acceleration,Year,CountryCode,Model
28,4,112,88,2605,19.6,82,1,chevrolet cavalier
31,4,112,85,2575,16.2,82,1,pontiac j2000 se hatchback
33.5,4,98,83,2075,15.9,77,1,dodge colt m/m
30,4,88,76,2065,14.5,71,2,fiat 124b
26,4,121,113,2234,12.5,70,2,bmw 2002
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham
24,4,140,92,2865,16.4,82,1,ford fairmont futura
23.2,4,156,105,2745,16.7,78,1,plymouth sapporo
21.5,6,231,115,3245,15.4,79,1,pontiac lemans v6
23,4,115,95,2694,15,75,2,audi 100ls
34.1,4,86,65,1975,15.2,79,3,maxda glc deluxe
23,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw)
44.6,4,91,67,1850,13.8,80,3,honda civic 1500 gl
26,4,96,69,2189,18,72,2,renault 12 (sw)
34,4,108,70,2245,16.9,82,3,toyota corolla
12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan
18,6,171,97,2984,14.5,75,1,ford pinto
15,8,390,190,3850,8.5,70,1,amc ambassador dpl
24.5,4,151,88,2740,16,77,1,pontiac sunbird coupe
20.2,6,200,88,3060,17.1,81,1,ford granada gl
29.8,4,134,90,2711,15.5,80,3,toyota corona liftback
31.6,4,120,74,2635,18.3,81,3,mazda 626
40.8,4,85,65,2110,19.2,80,3,datsun 210
17.7,6,231,165,3445,13.4,78,1,buick regal sport coupe (turbo)
19.2,8,267,125,3605,15,79,1,chevrolet malibu classic (sw)
24,6,200,81,3012,17.6,76,1,ford maverick
13,8,350,175,4100,13,73,1,buick century 350
15,6,258,110,3730,19,75,1,amc matador
13,8,400,190,4422,12.5,72,1,chrysler newport royal
38.1,4,89,60,1968,18.8,80,3,toyota corolla tercel
17,6,163,125,3140,13.6,78,2,volvo 264gl
16,8,400,180,4220,11.1,77,1,pontiac grand prix lj
37.7,4,89,62,2050,17.3,81,3,toyota tercel
38,4,91,67,1995,16.2,82,3,datsun 310 gx
26,4,97,75,2265,18.2,77,3,toyota corolla liftback
13,8,302,129,3169,12,75,1,ford mustang ii
21,6,199,90,2648,15,70,1,amc gremlin
15,8,429,198,4341,10,70,1,ford galaxie 500
28,4,107,86,2464,15.5,76,2,fiat 131
26.6,4,151,84,2635,16.4,81,1,buick skylark
15.5,8,350,170,4165,11.4,77,1,chevrolet monte carlo landau
15,8,304,150,3892,12.5,72,1,amc matador (sw)
33.5,4,151,90,2556,13.2,79,1,pontiac phoenix
31.3,4,120,75,2542,17.5,80,3,mazda 626
23,8,350,125,3900,17.4,79,1,cadillac eldorado
15,6,250,72,3158,19.5,75,1,ford maverick
29.8,4,89,62,1845,15.3,80,2,vokswagen rabbit
19.4,8,318,140,3735,13.2,78,1,dodge diplomat
38,4,91,67,1965,15,82,3,honda civic
39,4,86,64,1875,16.4,81,1,plymouth champ
20,6,156,122,2807,13.5,73,3,toyota mark ii
31,4,76,52,1649,16.5,74,3,toyota corona
31,4,71,65,1773,19,71,3,toyota corolla 1200
20,4,97,88,2279,19,73,3,toyota carina
27,4,97,88,2130,14.5,70,3,datsun pl510
18,6,225,95,3785,19,75,1,plymouth fury
16.5,8,351,138,3955,13.2,79,1,mercury grand marquis
36,4,120,88,2160,14.5,82,3,nissan stanza xe
26,4,122,80,2451,16.5,74,1,ford pinto
13,8,350,145,4055,12,76,1,chevy c10
17.6,6,225,85,3465,16.6,81,1,chrysler lebaron salon
34,4,112,88,2395,18,82,1,chevrolet cavalier 2-door
15,8,302,130,4295,14.9,77,1,mercury cougar brougham
14,8,318,150,4096,13,71,1,plymouth fury iii
24.3,4,151,90,3003,20.1,80,1,amc concord
44,4,97,52,2130,24.6,82,2,vw pickup
23,4,97,54,2254,23.5,72,2,volkswagen type 3
31,4,119,82,2720,19.4,82,1,chevy s-10
13,8,440,215,4735,11,73,1,chrysler new yorker brougham
18.1,6,258,120,3410,15.1,78,1,amc concord d/l
31,4,79,67,2000,16,74,2,fiat x1.9
32.4,4,107,72,2290,17,80,3,honda accord
37,4,85,65,1975,19.4,81,3,datsun 210 mpg
23,4,140,83,2639,17,75,1,ford pinto
15,6,250,100,3336,17,74,1,chevrolet nova
33,4,91,53,1795,17.5,75,3,honda civic cvcc
18.5,8,360,150,3940,13,79,1,chrysler lebaron town @ country (sw)
14,8,440,215,4312,8.5,70,1,plymouth fury iii
18,8,318,150,3436,11,70,1,plymouth satellite
26,4,98,90,2265,15.5,73,2,fiat 124 sport coupe
27.2,4,141,71,3190,24.8,79,2,peugeot 504
29,4,90,70,1937,14.2,76,2,vw rabbit
25,6,181,110,2945,16.4,82,1,buick century limited
32,4,71,65,1836,21,74,3,toyota corolla 1200
14,8,302,137,4042,14.5,73,1,ford gran torino
22,4,108,94,2379,16.5,73,3,datsun 610
27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw)
19,4,121,112,2868,15.5,73,2,volvo 144ea
30,4,98,68,2155,16.5,78,1,chevrolet chevette
26.6,8,350,105,3725,19,81,1,oldsmobile cutlass ls
16,8,318,150,4190,13,76,1,dodge coronet brougham
23.9,4,119,97,2405,14.9,78,3,datsun 200-sx
24,4,134,96,2702,13.5,75,3,toyota corona
13,8,400,150,4464,12,73,1,chevrolet caprice classic
13,8,302,130,3870,15,76,1,ford f108
12,8,455,225,4951,11,73,1,buick electra 225 custom
27,4,140,86,2790,15.6,82,1,ford mustang gl
